time,GEN1:Vt,GEN1:delta,GEN1:omega,GEN1:P,GEN2:P,GEN3:P,GEN2:Vt,GEN2:delta,GEN3:delta,GEN2:omega,GEN3:omega,GEN1:Tm,GEN1:Pm,GEN1:Vd,GEN1:Vq,GEN1:Id,GEN1:Iq,GEN1:Vfd,GEN1:Vang
0.0,1.0399961421770532,0.1398864175036457,0.9999971853066498,0.7218231972053155,1.630002891133542,0.8500048621938056,1.0249984084030936,1.3274194245198567,1.0829275996441707,1.00000000028886,1.0000000003747331,0.7164138546803226,0.7164102147448226,0.14501206964941266,1.0298366255863827,0.3535776625570891,0.6458584296813988,1.163583383680069,-4.601997376838309e-06
0.01,1.03999242370969,0.13986527122131187,0.9999938754931668,0.7218901758191892,1.6300370018079002,0.8500436348705825,1.0249943509608572,1.3274194107840227,1.0829275568031986,0.9999999926751735,0.999999979660924,0.7164170068112304,0.7164102147448226,0.1450172639788992,1.0298321390020946,0.35358399263853785,0.6459227566834969,1.163583383680069,-3.129560366555737e-05
0.02,1.0399893371775355,0.13983171657650303,0.9999906385514256,0.7219111898937041,1.6300830186194237,0.8500951483234883,1.0249892695756524,1.3274192649028065,1.0829271956536348,0.9999999564688915,0.9999998914561864,0.7164193000052046,0.7164102147448226,0.14501773482547092,1.0298289557150055,0.3535825717887529,0.6459449287256533,1.163583383680069,-6.572537894425436e-05
0.03,1.039986060573083,0.13978609851347212,0.9999874921701248,0.7219031912328923,1.6301402735395578,0.850159002630158,1.0249828691750174,1.3274188363433281,1.0829261689943899,0.9999998792681397,0.9999997088176542,0.7164215136501966,0.7164102147448226,0.1450148266868461,1.0298260562965498,0.3535822238641557,0.6459400909035042,1.163583383680069,-0.0001089631912652562
0.04,1.0399825686662985,0.13972880998524362,0.9999844511323643,0.7218684625764029,1.6302079467811734,0.8502339141469474,1.024975134820983,1.32741793104493,1.082924035798917,0.9999997497846362,0.9999994082769591,0.7164236403281397,0.7164102147448226,0.14500869842247535,1.0298233928745122,0.35358325780561656,0.6459103628928323,1.163583383680069,-0.00016077373376434796
0.05,1.0399788574983337,0.1396602949683344,0.9999815286482828,0.721809160446125,1.630285245145359,0.8503184375813471,1.0249660849089226,1.3274163157322658,1.082920277975686,0.999999557792555,0.9999989703117764,0.7164256716514079,0.7164102147448226,0.144999519988606,1.029820937467584,0.3535857779438096,0.6458577571329305,1.163583383680069,-0.00022087857322146547
0.06,1.0399749279569532,0.1395810425491384,0.9999787363162903,0.7217275722342739,1.630371405112313,0.8504110352473917,1.0249557547556296,1.3274137217918651,1.0829143160814287,0.9999992940878851,0.999998379501563,0.7164276004018051,0.7164102147448226,0.14498749142944445,1.0298186627305153,0.3535898568427522,0.645784405652508,1.163583383680069,-0.00028898272863805453
0.07,1.039970785000554,0.13949158064293804,0.999976084073811,0.7216260968015729,1.6304656782191385,0.8505101067881995,1.024944194608121,1.3274098490154451,1.0829055252297775,0.999998950459612,0.9999976245904376,0.7164294205956898,0.7164102147448226,0.14497283931198213,1.029816541679386,0.35359554097927454,0.6456925420126504,1.163583383680069,-0.00036477759550767924
0.08,1.039966437303135,0.13939246957357807,0.9999735801647873,0.7215072175232446,1.630567318792688,0.850614018000508,1.0249314683224502,1.327404369280161,1.0828932509972475,0.99999851967204,0.9999966984730111,0.7164311274961463,0.7164102147448226,0.14495581259086712,1.0298145479226328,0.35360285191635366,0.6455844765429,1.163583383680069,-0.00044794339904870116
0.09,1.0399618969161404,0.13928429558528332,0.9999712311250889,0.721373474183559,1.6306755744201906,0.8507211294890027,1.024917652100602,1.32739693019949,1.0828768250455052,0.9999979954559406,0.9999955981070521,0.7164327176108894,0.7164102147448226,0.1449366784083838,1.0298126559182315,0.3536117872875914,0.6454625705051577,1.163583383680069,-0.0005381516500502384
